1-Methyluric acid_7-Methyluric acid_3-Methyluricacid_9-Methyluricacid;NA
2_O_Methylcytidine_Isomers;NA
4_Hydroxy_3_MethoxybenzylAlcohol;NA
4_Hydroxy_3_MethoxybenzylAlcohol;NA
8_AminocaprylicAcid;NA
Caproic acid _Hexanoic acid;NA
Caproylcarnitine;NA
Cinnamic Acid;NA
Cresol isomer;NA
Cresol isomer;NA
Cresol isomer;NA
D_Ala_D_Ala;NA
Erythrose isomer;NA
Ethanolamine;NA
Glycylproline;NA
Methylguanine&isomer;NA
N6__Delta2_Isopentenyl_Adenine;NA
Ne,Ne dimethyllysine;NA
NFormylLMethionine;NA
Nicotinamide_N_Oxide;NA
Adenine;C00147
Adenosine;C00212
Alanine;C00041
betaine;NA
Carnitine;C00487
Choline;C00114
Creatine;C00300
Creatinine;C00791
Cytosine;C00380
Fumarate;C00122
Gluconic Acid&Isomer;NA
Glutamate;NA
Glutamate;NA
Glutamine;NA
Glutamine;NA
Hippurate;C01586
Histidine;C00135
Isoleucine;C00407
Kynurenine;NA
Leucine;C00123
Methionine;C00073
Nicotinamide;C00153
Nicotinate;C00253
O_Acetylcarnitine;NA
Phenylalanine;C02057
Pipecolate;NA
Proline;C00148
Propionylcarnitine;C03017
Serine;C00065
Total DMA (ADMA+SDMA);NA
Tryptophan;NA
Tyrosine;C00082
Uracil;C00106
Urate;C00366
Valine;C00183
1 5 Anhydro D Sorbitol;NA
1_Methyladenosine;NA
12 Hydroxydodecanoic Acid;NA
2 6 Dihydroxybenzoic Acid;NA
2 Hydroxy 2 Methylbutyric Acid_2 Hydroxy 3 Methylbutyric Acid_2 Hydroxypentanoic Acid_3 Hydroxy 3 Methylbutyric Acid_3 Hydroxypentanoic Acid;NA
2 Hydroxycaproic Acid;NA
2 Ketohexanoic Acid_4 Methyl 2 Oxovaleric Acid;NA
2_Methylbutyrylcarnitine_Isovalerylcarnitine_3_methylbutyrylcarnitine;NA
2_MethylhippuricAcid;NA
21 Deoxycortisol_Corticosterone;NA
3 Hydroxy 3 Methylglutaric Acid ;NA
3 Hydroxybutyric Acid, 4 Hydroxybutyric acid;NA
3 Hydroxybutyric Acid, 4 Hydroxybutyric acid;NA
3_Amino_5_HydroxybenzoicAcid;NA
3_Hydroxy_3_Methylglutarate&isomers;NA
3_Hydroxy_3_Methylglutarate&isomers;NA
3_Ureidopropionate;NA
3-Indolepropionicacid;NA
3-Sulfocatechol_4-Sulfocatechol;NA
4_Guanidinobutanoate;NA
4_Hydroxy_6_Methyl_2_Pyrone;NA
4_Hydroxy_D_Proline_Cis_trans;NA
4_ImidazoleaceticAcid;NA
4_Pyridoxate;NA
5_Methylcytosine_Isomers;NA
5_Methylcytosine_Isomers;NA
Acetylcholine_Butyrobetaine;NA
Allantoin;C01551
Arabitol, Ribitol, Xylitol;NA
Asparagine;C00152
Azelaic Acid;NA
Biotin;C00120
Butyrylcarnitine_Isobutyrylcarnitine;NA
Carnosine;C00386
Cholic Acid & isomers (b-muricholicacid, a-muricholicacidï¿½);NA
Cis_9_Tetradecenoylcarnitine_cis_5_Tetradecenoylcarnitine_trans_2_Tetradecenoylcarnitine;NA
Citrulline;NA
Cytidine;C00475
Deoxycholic Acid_Ursodeoxycholic Acid;NA
Deoxycytidine;C00881
Diethanolamine;C06772
Ehtylmalonic Acid;NA
Erythrose;NA
Galacturonic Acid, Glucuronic acid…;NA
Galacturonic Acid, Glucuronic acid…;NA
Glycerol 3 Phosphate;NA
Glycine;C00037
Guanidinoacetate;C00581
Hexosamine;NA
Homoserine.Threonine;NA
Hypotaurine;NA
Indole_3_Acetate;NA
Indolelactate;NA
Indolepyruvate;NA
IndoxylSulfate;NA
KynurenicAcid;NA
L_CysteineS_Sulfate;NA
L_Homocitrulline;NA
Lactate;NA
L-Methionine S-oxide;NA
M Cresolsulfate_O Cresolsulfate_P Cresolsulfate;NA
Malate;NA
MethionineSulfoxide;NA
Myristoylcarnitine;NA
N Acetyl L Alanine;NA
N Acetyl L Methionine;NA
N Acetyl L Phenylalanine;NA
N Acetyl L Tyrosine;NA
N Acetylglycine;NA
N.Acetyl.Dl.Tryptophan;NA
N.Isobutyrylglycine&isomers;NA
N.N_Dimethylglycine;NA
N_Acetyl_D_Galactosamine;NA
N_Acetyl_L_Alanine;NA
N_Acetyl_L_Leucine;NA
N_Alpha_Acetyl_L_Asparagine;NA
N_Isovalerylglycine&isomer;NA
N_Isovalerylglycine&isomer;NA
N_Methyl_L_Histidine&isomer;NA
O_Succinyl_L_Homoserine;NA
Oleoyl_Carnitine;NA
Ornithine;NA
Orotate;C00295
Palmitic acid;C00249
Palmitoyl_L_Carnitine;NA
Panthenol;NA
Panthotenate;NA
Perillic Acid;NA
Phenylacetylglycine (PHENYLACETYLAMINO ACETIC ACID);NA
Phenyllactic Acid;NA
Polyol_Mannitol.Sorbitol;NA
Pseudouridine;NA
Pyridoxal;C00250
Pyroglutamic.Acid._Oxoproline;NA
Pyroglutamic.Acid._Oxoproline;NA
Pyruvate;C00022
Serotonin;C00780
Succinate;C00042
Sucrose;C00089
Taurine;C00245
TaurochenodeoxycholicAcid_TaurodeoxycholicAcid_TaurohyodeoxycholicAcid_TauroursodeoxycholicAcid;NA
Taurocholic Acid & isomers (Tauro-b-muricholicacid, Tauro-a-muricholicacidï¿½);NA
Threonic Acid;NA
Thymidine;C00214
Thymine;C00178
TMAO;NA
Tocopherol;NA
Total Hexoses - Myo Inositol;NA
Total Hexoses (Glucose, Galactose…);NA
Total Pentoses;NA
TotalHexosamines_Glucosamine.Galactosamine;NA
TotalHexosamines_Glucosamine.Galactosamine;NA
Trans 3 Hydroxy L Proline_Trans 4 Hydroxy L Proline;NA
Trans_3_HexenedioicAcid;NA
Trigonelline;C01004
Urea;C00086
Urocanate;C00785
Alpha_Aminoadipate;NA
Alpha_Aminoadipate;NA
N Acetyl D Allo Isoleucine_N Acetyl L Leucine ;NA
N Acetyl D Allo Isoleucine_N Acetyl L Leucine ;NA
